,method,CCN SEARCH,n,Method_type ,method_tool
402,Circuitscape (Pinchpoint Mapper tool),Corridors,1,"circuit theory, pinchpoint ",
202,ArcGIS (K-mean clustering tool),Connectivity,1,clustering,
274,ArcGIS software (natural breakpoint method),Corridors,1,clustering,
73,CLUMPAK,Connectivity,2,clustering,
368,CLUMPP,Corridors,1,clustering,
412,Cluster analysis,Connectivity,1,clustering,
806,Hierarchical Agglomerative Clustering (HAC),Connectivity,1,clustering,
271,ArcGIS network analyst extension (OD cost matrix analysis),Connectivity,1,Correlation analysis ,
272,ArcGIS network analyst extension (OD cost matrix analysis),Networks,1,Correlation analysis ,
455,Correlation analysis,Connectivity,1,Correlation analysis ,
456,Correlation analysis,Corridors,1,Correlation analysis ,
457,Correlation analysis,Networks,1,Correlation analysis ,
1218,Pearson correlation analysis,Corridors,1,Correlation analysis ,
1219,Pearson’s correlation analysis,Connectivity,1,Correlation analysis ,
1220,Pearson’s correlation analysis,Corridors,1,Correlation analysis ,
1221,Pearson’s correlation analysis,Networks,1,Correlation analysis ,
1319,R (Corrplot package),Networks,1,Correlation analysis ,
1387,R (corrplot package),Connectivity,1,Correlation analysis ,
1388,R (corrplot package),Corridors,1,Correlation analysis ,
27,Deep learning,Networks,5,deep learning,
491,Deep Learning,Networks,1,deep learning,
1806,deep learning,Networks,1,deep learning,
1807,deep learning-based segmentation technique,Networks,1,deep learning,
492,Deep networks,Networks,1,deep learning,
1288,Pytorch 1.9 deep learning framework,Networks,1,deep learning,
162,AdapterRemoval v2.1.7,Networks,1,dna sequence,
1315,R (Biomod2 package),Connectivity,1,ensemble models,
1380,R (biomod2 package),Corridors,1,ensemble models,
1381,R (biomod2 package),Networks,1,ensemble models,
591,Euclidean Distance analysis,Connectivity,1,euclidean distance,
592,Euclidean Distance analysis,Corridors,1,euclidean distance,
849,Isolation by barrier (IBB),Connectivity,1,euclidean distance,
850,Isolation by distance (IBD) analysis,Connectivity,1,euclidean distance,
851,Isolation by distance (IBD) analysis,Corridors,1,euclidean distance,
852,Isolation by resistance (IBR),Connectivity,1,euclidean distance,
853,Isolation by resistance (IBR),Corridors,1,euclidean distance,
1295,QGIS (Nearest Neighbour Analysis tool),Networks,1,euclidean distance,
1393,R (ecodist package),Connectivity,1,euclidean distance,
1394,R (ecodist package),Corridors,1,euclidean distance,
205,ArcGIS (Patch Analyst 5.2 tool),Connectivity,1,fragstats,
206,ArcGIS (Patch Analyst 5.2 tool),Corridors,1,fragstats,
443,Contagion and Entropy tools from the Fragmentation toolset,Corridors,1,fragstats,
577,Edge analysis,Corridors,1,fragstats,
581,Environmental fragmentation analysis,Corridors,1,fragstats,
617,Field shape analysis,Connectivity,1,fragstats,
625,Foreground Area Density (FAD) analysis,Corridors,1,fragstats,
626,Forest area density (FAD) analysis,Connectivity,1,fragstats,
629,Fragment analysis,Connectivity,1,fragstats,
599,FRAGMENT PROFILER 1.2,Corridors,1,fragstats,
628,Fragment Profiler 1.2,Connectivity,1,fragstats,
630,Fragmentation analysis,Connectivity,1,fragstats,
631,Fragmentation anaysis,Corridors,1,fragstats,
632,Fragstat software,Corridors,1,fragstats,
600,FRAGSTATS,Connectivity,1,fragstats,
601,FRAGSTATS,Corridors,1,fragstats,
633,Fragstats 3.3 software,Corridors,1,fragstats,
602,FRAGSTATS 4,Corridors,1,fragstats,
634,Fragstats 4,Corridors,1,fragstats,
635,Fragstats 4.0,Networks,1,fragstats,
603,FRAGSTATS 4.2,Connectivity,1,fragstats,
636,Fragstats software,Connectivity,1,fragstats,
637,Fragstats software,Corridors,1,fragstats,
604,FRAGSTATS v4.2,Connectivity,1,fragstats,
605,FRAGSTATS version 4.2.1,Connectivity,1,fragstats,
898,"Landscape metrics (Mean patch area, Class area, Number of patches, largest patch index, Nearest neighbor, Contiguity, Aggregation index)",Connectivity,1,fragstats,
1347,R (Makurhini package),Connectivity,1,fragstats,
1348,R (Makurhini package),Corridors,1,fragstats,
1349,R (Makurhini package),Networks,1,fragstats,
1533,R version 4.0.0 (Makurhini package),Connectivity,1,fragstats,
1534,R version 4.0.0 (Makurhini package),Networks,1,fragstats,
178,Allel in Space (AIS),Connectivity,1,genetic analysis ,
179,Allel in Space (AIS),Corridors,1,genetic analysis ,
180,Allele analysis,Corridors,1,genetic analysis ,
181,Allelic diversity,Corridors,1,genetic analysis ,
151,AMOVA,Connectivity,1,genetic analysis ,
185,Analysis of molecular variation (AMOVA),Corridors,1,genetic analysis ,
277,ArcGis 10.5 (Landscape Genetics GIS Toolbox),Corridors,1,genetic analysis ,
290,ArcMap 10.8 (single-species genetic divergence package of the Genetic Landscape GIS toolbox V.10.1),Connectivity,1,genetic analysis ,
291,ArcMap 10.8 (single-species genetic divergence package of the Genetic Landscape GIS toolbox V.10.1),Corridors,1,genetic analysis ,
1811,eDNA detection methods (DNA metabarcoding and qPCR),Corridors,1,genetic analysis ,
580,Environmental DNA (eDNA) and metabarcoding,Networks,1,genetic analysis ,
682,GenAlEx,Connectivity,1,genetic analysis ,
683,GenAlEx 6.1,Connectivity,1,genetic analysis ,
681,GenALEx 6.5,Corridors,1,genetic analysis ,
684,GenAlEx 6.5,Connectivity,1,genetic analysis ,
691,Genalex 6.5,Connectivity,1,genetic analysis ,
692,Genalex 6.5,Corridors,1,genetic analysis ,
685,GenAlEx 6.5 software,Networks,1,genetic analysis ,
686,GenAlEx 6.51,Connectivity,1,genetic analysis ,
687,GenAlEx v. 6.501,Corridors,1,genetic analysis ,
689,GenAlex v.6.5,Connectivity,1,genetic analysis ,
690,GenAlex v.6.5,Networks,1,genetic analysis ,
688,GenAlEx v6.1,Connectivity,1,genetic analysis ,
88,GenAlEx v6.5,Corridors,2,genetic analysis ,
646,GENALEX V6.5,Corridors,1,genetic analysis ,
693,Genalex v6.503,Connectivity,1,genetic analysis ,
694,Genalex v6.504,Corridors,1,genetic analysis ,
89,GenAlEx version 6.5,Connectivity,2,genetic analysis ,
647,GENECLASS2,Connectivity,1,genetic analysis ,
648,GENECLASS2,Corridors,1,genetic analysis ,
695,GeneClone 2.0,Connectivity,1,genetic analysis ,
700,Geneious,Connectivity,1,genetic analysis ,
701,Geneious,Networks,1,genetic analysis ,
702,Geneious  v.10.2.6,Connectivity,1,genetic analysis ,
703,Geneious v.11,Networks,1,genetic analysis ,
704,Geneious v10.0.2,Connectivity,1,genetic analysis ,
705,Geneious v10.0.2,Networks,1,genetic analysis ,
649,GENELAND,Corridors,1,genetic analysis ,
650,GENELAND v4.0.6,Corridors,1,genetic analysis ,
696,GeneMapper (ABI) software version 4.01,Corridors,1,genetic analysis ,
697,GeneMapper 4.1,Connectivity,1,genetic analysis ,
698,GeneMarker Genotyping Software,Connectivity,1,genetic analysis ,
651,GENEMARKER version 2.2.0,Corridors,1,genetic analysis ,
699,"GeneMarker, vers. 2.7.4",Connectivity,1,genetic analysis ,
652,GENEPOP 4.0.10,Corridors,1,genetic analysis ,
653,GENEPOP 4.0.6,Connectivity,1,genetic analysis ,
706,Genepop 4.7,Connectivity,1,genetic analysis ,
654,GENEPOP V. 3.4,Connectivity,1,genetic analysis ,
707,Genepop v. 4,Connectivity,1,genetic analysis ,
708,Genepop v. 4,Networks,1,genetic analysis ,
655,GENEPOP V4,Corridors,1,genetic analysis ,
657,GENEPOP v4.2,Corridors,1,genetic analysis ,
709,Genepop v4.2 (Microsatellite analysis),Corridors,1,genetic analysis ,
656,GENEPOP V4.3,Corridors,1,genetic analysis ,
710,Genepop v4.7.0,Connectivity,1,genetic analysis ,
711,Genepop v4.7.1,Corridors,1,genetic analysis ,
718,Genetic toolkit,Corridors,1,genetic analysis ,
658,GENHET v3.2,Connectivity,1,genetic analysis ,
659,GENHET v3.3,Corridors,1,genetic analysis ,
719,Genomic tools,Corridors,1,genetic analysis ,
1813,haplotype AMOVA (analysis of molecular variance),Corridors,1,genetic analysis ,
797,Haplotype analysis,Corridors,1,genetic analysis ,
795,Haplotype Analysis ver. 1.05 software,Networks,1,genetic analysis ,
796,Haplotype Network Analysis,Networks,1,genetic analysis ,
889,Landscape genetic analysis,Corridors,1,genetic analysis ,
890,Landscape genetic approach,Corridors,1,genetic analysis ,
891,Landscape genetics,Corridors,1,genetic analysis ,
1052,Measures of gene flow frequency and direction and genetic connectivity,Corridors,1,genetic analysis ,
978,MEGA 5.2,Corridors,1,genetic analysis ,
981,MEGA v6.06 (Mitochondrial DNA (mtDNA) analysis),Corridors,1,genetic analysis ,
979,MEGA X (Clustal W tool),Connectivity,1,genetic analysis ,
980,MEGA X (Clustal W tool),Corridors,1,genetic analysis ,
982,MEGA6,Corridors,1,genetic analysis ,
983,MEGAv6,Corridors,1,genetic analysis ,
1053,Metapopulation theory,Connectivity,1,genetic analysis ,
1054,Metapopulation theory,Corridors,1,genetic analysis ,
987,MICRO‐CHECKER v2.2.3,Corridors,1,genetic analysis ,
986,MICROCHECK V2.2.3 (Microsatellite analysis),Corridors,1,genetic analysis ,
1060,MicroChecker,Corridors,1,genetic analysis ,
1063,Microchecker,Connectivity,1,genetic analysis ,
1064,Microchecker,Corridors,1,genetic analysis ,
984,MICRO-CHECKER,Corridors,1,genetic analysis ,
985,MICRO-CHECKER 2.2.3,Corridors,1,genetic analysis ,
1055,Micro-Checker 2.2.3,Connectivity,1,genetic analysis ,
1056,Micro-Checker 2.2.3,Networks,1,genetic analysis ,
1057,Micro-Checker v.2.2.3,Connectivity,1,genetic analysis ,
1058,Micro-Checker v2.2.3,Connectivity,1,genetic analysis ,
1059,Micro-Checker v2.2.4,Corridors,1,genetic analysis ,
1061,MicroChecker version 2.2.3,Connectivity,1,genetic analysis ,
1062,"MicroChecker, vers. 2.2.3",Connectivity,1,genetic analysis ,
1065,Microclimate Analysis,Corridors,1,genetic analysis ,
1066,Microsatellite analyses,Connectivity,1,genetic analysis ,
1067,Microsatellite analysis,Corridors,1,genetic analysis ,
1068,Microsatellite cross-species amplification,Connectivity,1,genetic analysis ,
1080,Mitochondrial DNA (mtDNA) analysis,Corridors,1,genetic analysis ,
1819,mitochondrial DNA (mtDNA) or genomic markers,Corridors,1,genetic analysis ,
1081,Mitochondrial DNA analysis,Connectivity,1,genetic analysis ,
1082,Mitochondrial DNA analysis,Networks,1,genetic analysis ,
1083,Mitochondrial genomes (mitogenomes),Networks,1,genetic analysis ,
1085,Molecular analysis,Connectivity,1,genetic analysis ,
1086,Molecular genetic analyses,Corridors,1,genetic analysis ,
1087,Molecular tools (RNA sequencing),Networks,1,genetic analysis ,
1822,mtDNA,Corridors,1,genetic analysis ,
1823,mtDNA sequencing,Corridors,1,genetic analysis ,
1233,PopArt,Connectivity,1,genetic analysis ,
1234,PopArt,Networks,1,genetic analysis ,
1235,PopArt (median-joining option),Connectivity,1,genetic analysis ,
1207,POPART 1.7,Connectivity,1,genetic analysis ,
1232,PopART v1.7,Corridors,1,genetic analysis ,
1236,PopArt version 1.7,Corridors,1,genetic analysis ,
1237,PopGenReport,Connectivity,1,genetic analysis ,
1238,Pophelper,Connectivity,1,genetic analysis ,
1239,Pophelper,Networks,1,genetic analysis ,
1244,Population genomics,Corridors,1,genetic analysis ,
1639,Single-nucleotide polymorphism (SNP) discovery,Corridors,1,genetic analysis ,
1640,Single-nucleotide polymorphisms (SNP) panels,Corridors,1,genetic analysis ,
1641,Single-nucleotide polymorphisms (SNPs),Corridors,1,genetic analysis ,
138,STRUCTURE,Connectivity,2,genetic analysis ,genetic analysis 
139,STRUCTURE,Networks,2,genetic analysis ,
1605,STRUCTURE,Corridors,1,genetic analysis ,
1606,STRUCTURE  v2.3.4,Corridors,1,genetic analysis ,
1698,Structure 2.3.1,Corridors,1,genetic analysis ,
1607,STRUCTURE 2.3.3,Corridors,1,genetic analysis ,
140,STRUCTURE 2.3.4,Connectivity,2,genetic analysis ,
1699,Structure 2.3.4,Connectivity,1,genetic analysis ,
1700,Structure 2.3.4,Networks,1,genetic analysis ,
1704,Structure analysis,Corridors,1,genetic analysis ,
1608,STRUCTURE HARVEST,Corridors,1,genetic analysis ,
31,STRUCTURE HARVESTER,Connectivity,5,genetic analysis ,
141,STRUCTURE HARVESTER,Networks,2,genetic analysis ,
1701,Structure Harvester,Connectivity,1,genetic analysis ,
1702,Structure Harvester,Networks,1,genetic analysis ,
1609,STRUCTURE HARVESTER v0.6.94,Connectivity,1,genetic analysis ,
1703,"Structure Harvester, vers.0.6.94",Connectivity,1,genetic analysis ,
1610,STRUCTURE software,Connectivity,1,genetic analysis ,
39,STRUCTURE v.2.3.4,Connectivity,4,genetic analysis ,
1611,STRUCTURE v.2.3.4,Corridors,1,genetic analysis ,
1612,STRUCTURE v2.3.1,Corridors,1,genetic analysis ,
1613,STRUCTURE v2.3.4,Connectivity,1,genetic analysis ,
1614,STRUCTURE version 2.3,Connectivity,1,genetic analysis ,
1615,STRUCTURE version 2.3.4,Corridors,1,genetic analysis ,
1705,"Structure, vers. 2.3.4",Connectivity,1,genetic analysis ,
30,R (adegenet package),Connectivity,5,genetics,
59,R (adegenet package),Corridors,3,genetics,
1313,R (Adegenet package),Connectivity,1,genetics,
1372,R (adegenet package),Networks,1,genetics,
712,General Linear Model (GLM) analysis,Connectivity,1,GLM,
713,General Linear Model (GLM) analysis,Networks,1,GLM,
714,General linear model (GLM) analysis,Corridors,1,GLM,
912,Least squares multivariate linear regression analysis,Corridors,1,GLM,
1577,Resource Selection Function (RSF),Corridors,1,glm,
1844,Centrality analysis,Networks,1,graph theory,
736,Graph analyses,Connectivity,1,graph theory,
737,Graph theory algorithm,Connectivity,1,graph theory,
738,Graph theory algorithm,Corridors,1,graph theory,
739,Graph theory algorithms,Networks,1,graph theory,
15,Graph theory analysis,Connectivity,8,graph theory,
16,Graph theory analysis,Corridors,8,graph theory,
33,Graph theory analysis,Networks,4,graph theory,
735,Graph Theory Analysis,Corridors,1,graph theory,
740,Graph theory approach,Corridors,1,graph theory,
1846, ImageJ software,Networks,1,hotspot,
230,ArcGIS 10.2 (hotspots analysis tool),Connectivity,1,hotspot,
231,ArcGIS 10.2 (hotspots analysis tool),Corridors,1,hotspot,
810,Human Elephant Conflict (HEC) hotspot analysis,Connectivity,1,hotspot,
811,Human Elephant Conflict (HEC) hotspot analysis,Networks,1,hotspot,
12,R (igraph package),Networks,9,igraph,
38,R (igraph package),Connectivity,4,igraph,
1546,RStudio (igraph package),Connectivity,1,igraph,
1547,RStudio (igraph package),Networks,1,igraph,
1851, R (igraph package),Networks,1,igraph ,
357,"Broad suite of density estimator approaches (e.g., KDE, AKDE, BBMM, dBBMM)",Connectivity,1,kernal density analysis,
358,"Broad suite of density estimator approaches (e.g., KDE, AKDE, BBMM, dBBMM)",Networks,1,kernal density analysis,
809,Home range analyses,Connectivity,1,kernal density analysis,
866,Kernel density analysis,Corridors,1,kernal density analysis,
864,Kernel Density Analysis (KDA),Connectivity,1,kernal density analysis,
865,Kernel Density Analysis (KDA),Corridors,1,kernal density analysis,
1373,R (adehabitatHR package),Corridors,1,kernal density analysis,
1374,R (adehabitathR package),Corridors,1,kernal density analysis,
1421,R (kernlab package),Connectivity,1,kernal density analysis,
217,ArcGIS 10 (Vector-based Landscape Analysis Tools Extension),Connectivity,1,landscape metrics,
218,ArcGIS 10 (Vector-based Landscape Analysis Tools Extension),Networks,1,landscape metrics,
198,ArcGIS (ArcHydro),Corridors,1,least cost path,
199,ArcGIS (ArcToolbox-Spatial anlyst-Reclass module),Corridors,1,least cost path,
200,ArcGIS (ArcToolbox-Spatial anlyst-Reclass module),Networks,1,least cost path,
208,ArcGIS (cost distance tool),Corridors,1,least cost path,
209,ArcGIS (cost path tool),Corridors,1,least cost path,
219,ArcGIS 10.2 (Cost backlink tool),Connectivity,1,least cost path,
220,ArcGIS 10.2 (Cost backlink tool),Corridors,1,least cost path,
226,ArcGIS 10.2 (cost distance analysis tool),Corridors,1,least cost path,
221,ArcGIS 10.2 (Cost distance tool),Connectivity,1,least cost path,
222,ArcGIS 10.2 (Cost distance tool),Corridors,1,least cost path,
227,ArcGIS 10.2 (cost path analysis tool),Corridors,1,least cost path,
223,ArcGIS 10.2 (Cost path tool),Connectivity,1,least cost path,
224,ArcGIS 10.2 (Cost path tool),Corridors,1,least cost path,
225,ArcGIS 10.2 (Euclidean distance analysis tool),Corridors,1,least cost path,
232,ArcGIS 10.2 (hydrological analysis module of the spatial analysis tool),Connectivity,1,least cost path,
233,ArcGIS 10.2 (hydrological analysis module of the spatial analysis tool),Corridors,1,least cost path,
234,ArcGIS 10.2 (hydrology analysis tool),Corridors,1,least cost path,
240,ArcGIS 10.3 software (Least Cost Path tool),Corridors,1,least cost path,
253,ArcGIS 10.8 (cost distance module),Connectivity,1,least cost path,
254,ArcGIS 10.8 (cost distance module),Corridors,1,least cost path,
255,ArcGIS 10.8 (cost distance module),Networks,1,least cost path,
252,ArcGIS 10.8 (Spatial Analysis Distance tool),Connectivity,1,least cost path,
283,ArcMap (flow accumulation tool),Connectivity,1,least cost path,
460,Cost analysis tools,Corridors,1,least cost path,
462,Cost–benefit analysis,Connectivity,1,least cost path,
79,Cost-distance analysis,Corridors,2,least cost path,
461,Costs/benefits analysis,Corridors,1,least cost path,
620,"Flowrouting techniques (e.g., D8).",Connectivity,1,least cost path,
621,"Flowrouting techniques (e.g., D8).",Networks,1,least cost path,
747,Graphab 1.2.3,Corridors,1,least cost path,
748,Graphab 1.2.3,Networks,1,least cost path,
749,Graphab 2.2 software,Connectivity,1,least cost path,
750,Graphab 2.2 software,Corridors,1,least cost path,
751,Graphab 2.6,Connectivity,1,least cost path,
752,Graphab 2.6,Corridors,1,least cost path,
753,Graphab 2.6,Networks,1,least cost path,
670,GRAPHAB 2.8,Corridors,1,least cost path,
671,GRAPHAB 2.8,Networks,1,least cost path,
672,GRAPHAB 2.8 software,Connectivity,1,least cost path,
754,Graphab software,Connectivity,1,least cost path,
755,Graphab software,Networks,1,least cost path,
756,Graphab software.2.5. Statistical analysis,Connectivity,1,least cost path,
757,Graphab v2.6.1,Connectivity,1,least cost path,
908,Least cost path (LCP),Corridors,1,least cost path,
93,Least Cost Path (LCP) analysis,Corridors,2,least cost path,
909,Least cost path (LCP) analysis,Connectivity,1,least cost path,
910,Least cost path (LCP) analysis,Corridors,1,least cost path,
911,Least cost path (LCP) method,Corridors,1,least cost path,
906,Least Cost Path Analysis,Corridors,1,least cost path,
907,Least Cost Path Analysis,Networks,1,least cost path,
918,Least-cost corridors,Corridors,1,least cost path,
913,Least-Cost Corridors (LCCs),Connectivity,1,least cost path,
914,Least-Cost Corridors (LCCs),Corridors,1,least cost path,
915,Least-Cost Corridors (LCCs),Networks,1,least cost path,
919,Least-cost distance (LCD),Connectivity,1,least cost path,
920,Least-cost distance (LCD),Corridors,1,least cost path,
921,Least-cost distance (LCD),Networks,1,least cost path,
922,Least-cost path (LCP),Connectivity,1,least cost path,
923,Least-cost path (LCP),Networks,1,least cost path,
46,Least-cost path (LCP) analysis,Corridors,3,least cost path,
916,Least-Cost Path (LCP) anaysis,Corridors,1,least cost path,
924,Least-cost path (LCP) theory analysis,Corridors,1,least cost path,
96,Least-cost path analysis,Connectivity,2,least cost path,
97,Least-cost path analysis,Corridors,2,least cost path,
925,Least-cost path analysis,Networks,1,least cost path,
94,Least-Cost Paths (LCPs),Connectivity,2,least cost path,
95,Least-Cost Paths (LCPs),Corridors,2,least cost path,
98,Least-cost paths (LCPs),Corridors,2,least cost path,
917,Least-Cost Paths (LCPs),Networks,1,least cost path,
926,Least-cost paths (LCPs),Connectivity,1,least cost path,
954,Linkage mapper (Barriers Mapper function),Corridors,1,least cost path,
939,Linkage Mapper (Least Cost Path LCP),Corridors,1,least cost path,
1151,Nearest neighbours approach,Connectivity,1,least cost path,
1152,Nearest neighbours approach,Networks,1,least cost path,
1401,R (gdistance package),Connectivity,1,least cost path,
1402,R (gdistance package),Corridors,1,least cost path,
1403,R (gdistance package),Networks,1,least cost path,
203,ArcGIS (Linkage Mapper tools),Corridors,1,linkage mapper,
204,ArcGIS (Linkage Mapper tools),Networks,1,linkage mapper,
17,Linkage Mapper,Corridors,8,linkage mapper,
23,Linkage Mapper,Connectivity,6,linkage mapper,
47,Linkage Mapper,Networks,3,linkage mapper,
952,Linkage Mapper 2.0,Corridors,1,linkage mapper,
953,Linkage Mapper software,Corridors,1,linkage mapper,
956,Linkage mapping,Corridors,1,linkage mapper,
960,LinkageMapper v1.0.9,Corridors,1,linkage mapper,
319,Barrier Mapper,Connectivity,1,"linkage mapper, barrier",
320,Barrier Mapper,Corridors,1,"linkage mapper, barrier",
321,Barrier Mapper,Networks,1,"linkage mapper, barrier",
322,Barrier v. 2.2,Connectivity,1,"linkage mapper, barrier",
933,Linkage Mapper (Barrier Mapper module),Connectivity,1,"linkage mapper, barrier",
934,Linkage Mapper (Barrier Mapper module),Corridors,1,"linkage mapper, barrier",
935,Linkage Mapper (Barrier Mapper module),Networks,1,"linkage mapper, barrier",
936,Linkage Mapper (Barrier Mapper tool),Connectivity,1,"linkage mapper, barrier",
937,Linkage Mapper (Barrier Mapper tool),Corridors,1,"linkage mapper, barrier",
938,Linkage Mapper (Barrier Mapper tool),Networks,1,"linkage mapper, barrier",
940,Linkage Mapper (Linkage Pathways module),Connectivity,1,"linkage mapper, linkage pathway",
941,Linkage Mapper (Linkage Pathways module),Corridors,1,"linkage mapper, linkage pathway",
942,Linkage Mapper (Linkage Pathways module),Networks,1,"linkage mapper, linkage pathway",
99,Linkage Mapper (Linkage Pathways tool),Connectivity,2,"linkage mapper, linkage pathway",
100,Linkage Mapper (Linkage Pathways tool),Corridors,2,"linkage mapper, linkage pathway",
101,Linkage Mapper (Linkage Pathways tool),Networks,2,"linkage mapper, linkage pathway",
957,Linkage pathways analysis,Connectivity,1,"linkage mapper, linkage pathway",
958,Linkage pathways analysis,Corridors,1,"linkage mapper, linkage pathway",
959,Linkage pathways analysis,Networks,1,"linkage mapper, linkage pathway",
955,Linkage mapper (Pinch point Mapper function),Corridors,1,"linkage mapper, pinchpoint",
943,Linkage Mapper (Pinchpoint Mapper module),Connectivity,1,"linkage mapper, pinchpoint",
944,Linkage Mapper (Pinchpoint Mapper module),Corridors,1,"linkage mapper, pinchpoint",
945,Linkage Mapper (Pinchpoint Mapper module),Networks,1,"linkage mapper, pinchpoint",
946,Linkage Mapper (Pinchpoint Mapper tool),Connectivity,1,"linkage mapper, pinchpoint",
947,Linkage Mapper (Pinchpoint Mapper tool),Corridors,1,"linkage mapper, pinchpoint",
948,Linkage Mapper (Pinchpoint Mapper tool),Networks,1,"linkage mapper, pinchpoint",
949,Linkage Mapper (pinchpoint mapper tool),Connectivity,1,"linkage mapper, pinchpoint",
950,Linkage Mapper (pinchpoint mapper tool),Corridors,1,"linkage mapper, pinchpoint",
951,Linkage Mapper (pinchpoint mapper tool),Networks,1,"linkage mapper, pinchpoint",
1845, DeepWave-Net,Networks,1,Machine learning,
194,Approximate Bayesian computation approach implemented in DIYABC-RF,Connectivity,1,Machine learning,
305,Artificial intelligence (AI),Networks,1,Machine learning,
879,"LULC classification, used machine learning algorithms such as Random Forest (RF), K-Nearest-Neighbor (KNN), Support Vector Machines (SVM), and Neural Network (NN) available in R statistical software",Connectivity,1,machine learning,
990,Machine learning,Networks,1,machine learning,
102,Machine learning algorithms,Networks,2,machine learning,
991,"Machine learning algorithms (Random Forest (RDF), Boosted Regression Trees (BRT), Support Vector Machine (SVM), and Maximum Entropy (MXD))",Connectivity,1,machine learning,
127,R (caret package),Connectivity,2,machine learning,
1834,random forest (RF),Connectivity,1,machine learning,
1555,Random forest (RF) analysis,Connectivity,1,machine learning,
1556,Random forest analysis,Networks,1,machine learning,
1709,Support vector machine (SVM) classifier,Networks,1,machine learning,
1770,Variance Inflation Factor (vif) analysis,Networks,1,machine learning,
1791,XGBoost,Connectivity,1,machine learning,
297,ArcMarxan toolbox (Graph BLM tool),Networks,1,marxan,
298,ArcMarxan toolbox (SPF tool),Networks,1,marxan,
106,Marxan,Networks,2,marxan,
971,MARXAN,Corridors,1,marxan,
972,MARXAN,Networks,1,marxan,
1026,Marxan,Connectivity,1,marxan,
1027,Marxan,Corridors,1,marxan,
1028,Marxan Connect,Networks,1,marxan,
107,Marxan software,Connectivity,2,marxan,
1030,Marxan software,Networks,1,marxan,
579,Entropy computed from remote-sensing data,Corridors,1,maxent,
1044,Maxent,Connectivity,1,maxent,
1045,Maxent,Corridors,1,maxent,
1046,Maxent,Networks,1,maxent,
1034,MaxEnt 3.3.3 in the dismo R package,Connectivity,1,maxent,
1035,MaxEnt 3.3.3 in the dismo R package,Networks,1,maxent,
108,MaxEnt 3.4.1,Connectivity,2,maxent,
1036,MaxEnt 3.4.1,Corridors,1,maxent,
1047,Maxent 3.4.1,Corridors,1,maxent,
973,MAXENT algorithm,Networks,1,maxent,
974,MAXENT software,Corridors,1,maxent,
